LastUpdate,Size,Version,Name,Rating,Downloads,andriodRequirements,Permissions,DeveloperLink,ratingCount,Developer,Description
25 September 2016, 10M  , 1.1.20  ,Vodafone m-pesa (India),4.2," 1,000,000 - 5,000,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device
read your contacts
modify your contacts,approximate location (network-based)
precise location (GPS and network-based)
access extra location provider commands,read your text messages (SMS or MMS)
receive text messages (MMS)
receive text messages (SMS)
receive text messages (WAP)
send SMS messages
edit your text messages (SMS or MMS),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping","https://www.google.com/url?q=https://mpesa.in/portal/&sa=D&usg=AFQjCNEXK0yNuolhL5kC6Ut6Yh8240Pmcw,mailto:customercare.vmpl@vodafone.com,https://www.google.com/url?q=https://mpesa.in/portal/pdf/privacy_policy.pdf&sa=D&usg=AFQjCNHt1v2sX2f5jSv3_2W24DMaMoXFnw","22,407",Vodafone m-pesa Limited,"A UNIQUE yet simple user experience awaits you. Send money to any mobile phone (across all operators) in three simple steps:,1. Enter the recipient’s number,2. Enter the amount,3. Enter your 4 digit secret code & Press send,All your loved ones have to do is show the SMS to their nearest m-pesa agent along with an ID proof and collect the money.The Vodafone m-pesa App also allows you to DO MUCH MORE….,- Recharge any prepaid number (Vodafone and other operators),- Recharge a DTH connection (TataSky, Airtel, Dish TV, Sun Direct, Videocon & Big TV),- Recharge a Broadband connection,- Recharge a Post-paid Vodafone number,- Pay your Utility Bills,- Online shopping,- Instant Transfer to any bank account/ m-pesa wallet,To start using Vodafone m-pesa, simply register by dialing *400# or visit your nearest m-pesa Agent or Vodafone Store along with an ID proof. Load money into your account at any one of our 85,000+ m-pesa agents across India and enjoy the convenience of anytime, anywhere money transfer and a host of other services."
16 September 2016, 8.2M  , 2.00.6P  ,Money Transfer and Recharge,4.4," 1,000,000 - 5,000,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping
set an alarm","https://www.google.com/url?q=https://www.chillr.in&sa=D&usg=AFQjCNFOyLsBWpkpSoRH-H7foQfmNGc7_w,mailto:support@chillr.in,https://www.google.com/url?q=https://chillr.in/terms&sa=D&usg=AFQjCNFVYDp_aPtuU_nutUeWMqenSnO_MQ","19,292",Chillr,"Access your money digitally without having to store it in a third party money app. Chillr is a multi-bank app that gives you the power to transfer funds, send and receive money, request payments and recharge your mobile, data card or DTH instantly!,☆ Safe money transfers,All transactions made on Chillr are secured & protected by an MPIN. ,All transaction & banking data is secured by end-to-end HTTPS encryption.,☆ Split Your Bills,Split bills on Chillr using the simple Request money feature. ,☆ Utility Bill Payments and Recharges,Instant mobile, DTH, data card recharges & super fast utility bill payments directly from your bank account. ,Leave lengthy usernames, passwords, card details and OTP verifications for recharges and payments behind. ,☆ Transaction Statements,Receive monthly transaction summaries & statements that help track & plan finances and expenses.,☆ Store Payments,Make simple payments at online & offline stores.,Scan the QR code for instant payment authentication. ,☆ Interactive Timeline,Now make payments social with the all new Chillr Timeline!,☆ Unified Payment Interface (UPI) and Immediate Payment Service (IMPS) at the heart of Chillr,Built over IMPS platform, allows to offer you 24x7 payments with the greatest security measures to keep your money safe at all times. Chillr will be launching with UPI very soon and expanding support for dozen more banks. ,Download the app and complete the registration process for your specific bank. Please contact your bank for more details.,Chill provides free money transfer services to all customers. ,However, your bank may levy standard IMPS charges for sending money to OTHER bank accounts. ,● HDFC Bank to other banks - Rs 5 + Taxes,● BOB to any bank – FREE,● CSB to any bank – FREE,● Andhra Bank to other banks – Rs 5 + Taxes,● Bharat Bank to any banks – FREE,● PMC Bank to any bank – FREE,● Federal Bank to any bank – FREE,● Greater Bank to any bank – FREE,● Saraswat Bank to any bank - FREE,SUPPORT,If you have any issues or suggestions please reach out to us via the following channels:,Live In-App Chat Support ,Email - support@chillr.in,Connect with us.,Facebook - https://www.facebook.com/mychillr,Twitter - @MyChillr,Google Plus - https://plus.google.com/+ChillrIndia,YouTube - https://youtube.com/+ChillrIndia"
23 February 2016, 2.2M  , 4.3.7  ,Bank of Baroda M-Connect,4.0," 1,000,000 - 5,000,000 ",     1.5 and up   ,"read your contacts,read call log
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,view network connections
full network access","https://www.google.com/url?q=http://mobile.fssnet.co.in/MPAYPORTAL/&sa=D&usg=AFQjCNHnWkv4atJDdhzFLnSJSF9NRmuzrw,mailto:fssnetmpay@gmail.com","19,791",FSS,"Features:,* No charges - Absolutely FREE,* User friendly interface with touch screen UI support,* Easy to register, download and start the using Baroda M Connect,* Secure way of transacting banking business,* No restriction on number of transactions. Cumulative maximum in a day is Rs.50000/-,Benefits:,* View the account balance, mini statement,* Funds transfer to accounts with Bank of Baroda & to other bank accounts through (IMPS & NEFT),* Mobile recharge can be done,For Registration please visit your nearest BOB ATM / Branch, get your Application Password and mPIN for activating your Mobile Banking services"
21 October 2015, 2.5M  , 1.3.6  ,LICMobile,3.5," 1,000,000 - 5,000,000 ",     2.1 and up   ,"read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,view network connections
full network access
Google Play licence check","https://www.google.com/url?q=http://www.licindia.in&sa=D&usg=AFQjCNGQFunbVPafsOFnaHnETf5cC9_9wA,mailto:mobility@licindia.com,https://www.google.com/url?q=http://www.licindia.in/privacy_policy.htm&sa=D&usg=AFQjCNGI9GKIG8Ptcjl5NSYba2FJtUz8Pg","19,612",LIFE INSURANCE CORPORATION OF INDIA,
1 April 2016, 6.2M  , 2.0.0  ,SBI Quick,4.1," 1,000,000 - 5,000,000 ",     2.3 and up   ,"read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read phone status and identity,view network connections
full network access","https://www.google.com/url?q=http://www.sbi.co.in&sa=D&usg=AFQjCNGSu33IUIZx9LnRWqos7YHtpiEF7g,mailto:sbi.quick@sbi.co.in","7,708",State Bank of India,"Services include:,1.	Balance Enquiry,2.	Mini Statement,3.	Blocking of ATM Card,4.	Car and Home Loan Enquiry,FAQs,What If I have two account numbers with the Bank with the same mobile number mentioned on both?,You can register 1 mobile number for any one of the accounts. If you want to change the mapped account number, you first need to de-register SBI Quick from the first account and then register for the second one.,Is it mandatory that the mobile number to be used for SBI Quick has to be registered with the Bank for that particular account?,Yes. If not done, visit Home Branch and update mobile number.,Is it available for all types of Accounts?,SBI Quick is currently available for SB/CA/OD/CC accounts.,How is this facility different from State Bank Anywhere or State Bank Freedom?,There are 2 distinct differences:,1.	You don’t need a Login ID, Password to use this facility. Just one time registration from the mobile number recorded with Bank for that particular Account.,2.	SBI Quick only provides Enquiry and ATM Block services. Unlike State Bank Anywhere or State Bank Freedom there are no transaction services available.,Is there any limit of the number of enquiries that can be made in a day/month?,As of now there is no such restriction. Unlimited.,What are the Charges for this service?,1.	The service is currently free of charge from the Bank.,2.	A call for balance inquiry or mini statement will include an IVR message of 4 seconds which will be heard after 3-4 rings. ,a.	If you disconnect the call while ringing, no charge will be recovered from you by the service provider.,b.	If you keep the call active till the IVR is played, you will be charged for these 3-4 seconds as per their mobile tariff plan. ,3.	Any SMS sent to 567676 e.g. for Blocking ATM Card will be charged at premium rates by your service provider.,4.	Similarly, for availing the benefits of this functionality by sending an SMS (as BAL, MSTMT, REG, DREG, CAR, HOME, HELP), you will be charged for SMS as per their mobile tariff plan."
4 September 2016, 11M  , 1.1  ,Canara Bank UPI- empower,4.2," 50,000 - 100,000 ",     4.1 and up   ,"approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages
edit your text messages (SMS or MMS),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping","https://www.google.com/url?q=http://www.canarabank.com&sa=D&usg=AFQjCNGOHPGF-_kZluQ6MdYOFE8VHgJX6g,mailto:canarambanking@gmail.com,https://www.google.com/url?q=http://www.canarabank.com/Upload/English/Content/terms%2520n%2520conditions%252022082016.pdf&sa=D&usg=AFQjCNFRijl23U7G1oJapgr7n3hOpQRWLw","1,497",CANARA BANK,"Advantages: ,• Real time 24x7 Fund Transfer ,• No need to remember or share account details. ,• Collect Money from others. ,• Send Money using Virtual id, Account No + IFSC, Aadhar, Mobile Number + MMID. ,• Add Multiple Bank Accounts in same application.,• It uses your Bank’s Mobile Banking MPIN.,• Multilingual language support.- English & Hindi. ,• Coming Soon! - Other regional languages support, Merchant transactions like recharge.,Steps to register: ,• Create your profile. ,• Create Virtual Address for linked account. eg :abc@cnrb ;123@cnrb,• Add/Link your Bank account. ,• Register for Mobile Banking on-the-fly,• Set MPIN for selected account.,Support 24 X 7  :,Email id  :upisupport@canarabank.com,Toll Free Number :1800-425-0018"
21 September 2016, 3.7M  , 1.33  ,LIC ALL IN ONE CALC,4.5," 1,000,000 - 5,000,000 ",     4.0 and up   ,"send SMS messages,view network connections
full network access","https://www.google.com/url?q=http://www.licallinonecalc.com/&sa=D&usg=AFQjCNFmUmXmxPOP59Jg2aYcqoroZqA6MA,mailto:dev.jigargohil@gmail.com","18,422",Jigar Gohil,"Send All the Information to your Client By single click using Msg, WhatsApp, Telegram, Mail, etc...,- Maturity Settlement Option,- Add Maturity Directly with Akshay (Pension Plan).,- Plan Adviser added. (Enter Age and it Give available Plans For that age),- Tax Saved Every Year Option Added,- Term Rider Option added in all Plans in which it available.,- Revival, Late Fee, Maturity Settlement, Age, BMI Calc Added. ,- Plan Combination Added.,- ASKLIC Feature Added.,- Info of Documents Required  for New Policy added. ,Many more Features will be add as soon as possible.,This Software is only For Private use.,All The Information is Best of Developer Knowledge.,Disclaimer :,   Maturity Calculation display in app is approximate(current rate of bonus).,   Shown premium is for indicative purpose only.,   Premium Shown in app is approximate. it may vary as per under writings rule.,For any Query and Inquiry Contact us,dev.jigargohil@gmail.com,For more details visit our website : www.licallinonecalc.com,Also like us on Facebook: https://www.facebook.com/licallinonecalc/"
11 August 2016, 17M  , 3.1.0  ,SBI Card,4.1," 1,000,000 - 5,000,000 ",     2.2 and up   ,"find accounts on the device,read calendar events plus confidential information
add or modify calendar events and send emails to guests without owners' knowledge,find accounts on the device,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (MMS)
receive text messages (SMS)
receive text messages (WAP)
send SMS messages
edit your text messages (SMS or MMS),read phone status and identity,read phone status and identity,send SMS-received broadcast
send WAP-PUSH-received broadcast
receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.sbicard.com&sa=D&usg=AFQjCNF3tRIa5N11lCnqWl8R3jBjb3M5sA,mailto:feedback@sbicard.com,https://www.google.com/url?q=https://www.sbicard.com/header_footer_pages/privacy_policy_0_121329.html&sa=D&usg=AFQjCNE5yGBnTlo9swpv1HsLPfwWfO7Azw","18,768",SBI Cards & Payment Services Pvt. Ltd.,"•         Account Summary,•         Card Statement,•         Unbilled Transactions,•         Payment History,•         Service Requests,•         Flexipay,•         Balance Transfer on EMI,•         Encash,•         Easy Money ,•         Hot Deals,•         Reward Redemption and much more,If you do not have a SBI Credit Card Online User Id & Password yet, please log on to sbicard.com and register today!"
23 September 2016, 6.0M  , 1.1.1  ,PhonePe - India's UPI App,4.1," 50,000 - 100,000 ",     4.0 and up   ,"find accounts on the device
read your own contact card,find accounts on the device
read your contacts,precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,read phone status and identity,receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.phonepe.com&sa=D&usg=AFQjCNHOuiiQINL8DgcNP4v4QzPorv8U3A,mailto:app-help@phonepe.com,https://www.google.com/url?q=http://www.phonepe.com/en/policy.html&sa=D&usg=AFQjCNG-ls5ghwyLtcuz0y-uERQFVnx0uQ","1,172",PhonePe,"PhonePe is a one stop UPI-based app which can serve all your payment needs, in a safe and secure manner. Through PhonePe you can link your bank account(s) over UPI and make instant bank to bank transfers by just using a mobile number or unique payment identity – Virtual Payment Address(VPA). PhonePe also provides you with a digital mobile wallet for faster refunds and cashbacks from our merchant partners. You cannot top-up the wallet but can spend your wallet balance or withdraw it into your linked bank account(s) in one quick swipe!,Things you can do on the PhonePe app,-Send and request money from your contacts anytime, anywhere,-Recharge any prepaid Mobile/Datacard/DTH connections across the country ,-Pay postpaid Landline, Datacard and mobile bills for all major operators ,-Pay for utilities such as electricity and gas bills,-Split bills with your friends and settle them right away,-Shop on Flipkart,Coming soon,-Shop on Myntra, Jabong and all your other favourite online shopping destinations using PhonePe,PhonePe features ,-Transact up to Rs.1 lakh per transaction, 24*7,-One-click payment using your PhonePe account at any of our merchant partner locations,-Get instant refunds and cashbacks from our partner merchants into your PhonePe wallet. Instantly withdraw your entire wallet balance to your UPI enabled bank account with just one swipe - free of cost!,Currently 21 banks are UPI enabled, with more banks coming soon!,Banks currently on UPI: YES Bank (our UPI switch provider), Andhra Bank, Axis Bank, Bank of Maharashtra, Canara Bank, Catholic Syrian Bank, DCB Bank, Federal Bank, ICICI Bank, IDBI Bank, Karnataka Bank, Oriental Bank of Commerce, Punjab National Bank, RBL Bank, South Indian Bank, TJSB Sahakari Bank, UCO Bank, United Bank of India, Vijaya Bank ,Banks coming soon on UPI: Bank of Baroda, Bharatiya Mahila Bank, HDFC Bank, Kotak Mahindra Bank, Standard Chartered Bank, State Bank of India, Union Bank of India,For more details, please visit our website at https://www.phonepe.com"
22 September 2016, 23M  , 1.5.9  ,digibank by DBS,3.7," 100,000 - 500,000 ",     4.1 and up   ,"retrieve running apps,read your contacts
modify your contacts,approximate location (network-based)
precise location (GPS and network-based)
access extra location provider commands,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,receive data from Internet
mock location sources for testing
view network connections
full network access
run at startup
draw over other apps
control vibration
read Google service configuration","https://www.google.com/url?q=http://www.dbsbank.in&sa=D&usg=AFQjCNEaXRMZqagsl-m6eYIx2jLW5FH-LA,mailto:ibanking@dbs.com,https://www.google.com/url?q=https://www.dbs.com/in/index/privacy.page&sa=D&usg=AFQjCNEGL90KwP5hAYTgthkZVRBnOtkEng","5,454",DBS Bank India,"Trusted, hassle free & rewarding, say hello to a new way of banking with digibank that helps you live more, bank less. Brought to you by DBS, Singapore’s best and Asia’s safest bank. , ,Set up an e-wallet in just 90seconds to enjoy:,* Shopping at over 1,00,000 online stores with your VISA virtual debit card,* Cashback while you shop,* Great offers across travel, entertainment & more,* 24x7 Virtual Assistant, powered by artificial intelligence,Convert to digiSavings account and enjoy:,* High returns with 7% interest from Rs. 1,* No minimum balance required,* Zero maintenance fees,* Unlimited, free ATM withdrawals at any bank ATM,* Better cashbacks and offers,How to convert? ,With just your Aadhaar, PAN card and biometrics at your nearest Café Coffee Day outlet (Coffee’s on us!) or by calling our executive to pay you a visit.,Since you’re reading this, we assume you’d like to know more!,It’s as safe as safe can be,digibank is a smart bank with high standards of safety. Coming from Singapore’s best, Asia’s safest bank DBS, digibank inherits the state-of-the-art safety technology that’s way better than OTPs, ,At your convenience,Digibank helps you pay your utility bills without missing out on deadlines. It helps manage your expenses with an intuitive budget optimizer. Experience completely paperless & signature-less account opening. And, if you ever need answers to your banking queries, turn to our 24x7 Virtual assistance run by artificial intelligence, anytime!,Stay interested with amazing rewards,Make every rupee count. Earn 7% interest, right from Re. 1 in your savings. Get unlimited free ATM withdrawals at any bank ATM and total freedom from maintenance and low account balance charges. Also grab the best of offers, cashbacks, rewards etc. while shopping, booking tickets or making travels plans online."
10 May 2016, 8.0M  , 3.6  ,Moneycontrol Markets on Mobile,4.3," 5,000,000 - 10,000,000 ",     4.0 and up   ,"retrieve running apps,find accounts on the device,find accounts on the device,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,record audio,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
draw over other apps
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.moneycontrol.com&sa=D&usg=AFQjCNFK8-JbtQmljD24qD8s9GW4w3DJ1w,mailto:network18application@gmail.com,https://www.google.com/url?q=http://www.moneycontrol.com/cdata/prystat.php&sa=D&usg=AFQjCNHwDkl63-nooX0R83RH_QISHl-_Fg","209,899",Network18,"Install and get latest updates about Indian and Global financial markets, recommendations from experts, monitor your portfolio, and watch CNBC channels on Live TV in English, Hindi and Gujarati languages.,Download and install the app now. It is fast, easy-to-use and free!,In case of any queries regarding the app, write an email to us at mobile@moneycontrol.com,-----------------------------------------------------------------------------------------------------------------------------------------------,Track the latest updates on Indian and Global financial markets on your smartphone with the new Moneycontrol App. It covers assets from BSE, NSE, MCX and NCDEX exchanges, so you can track Indices (Sensex l Nifty), Stocks, Futures, Options, Mutual Funds, Commodities and Currencies with ease. Also, monitor your investments with Portfolio and Watchlist. Stay updated with the wide range of news covered in our News and Personal Finance sections. Get expert’s views, in-depth coverage and analysis of the financial markets with live streaming of CNBC-TV18 (English), CNBC AWAAZ (Hindi), CNBC BAJAR (Gujarati) and CNBC PRIME HD.  ,Moneycontrol App offers:,Ease of Use:,• Easy navigation to all financial data, portfolio, watchlist and message board,• Single search bar with voice search for stocks, indices, mutual funds, commodities, news, etc,Latest Market Data: ,• Latest quotes of stocks, F&O, mutual funds, commodities and currencies from BSE, NSE, MCX and NCDEX,• Latest prices of Sensex, NIFTY, India VIX, etc,• In-depth market stats for stocks, futures and options,• Interactive and historical charts with Line, Area, Candlestick and OHLC charts types,News: ,• All-day coverage of news related to markets, business and economy; plus interviews of senior management,• Listen to the news and articles with 'Text to Speech' feature,• Save your favorite news and articles to read later, even when offline,Live TV: ,• Watch live shows of CNBC-TV18 (English), CNBC AWAAZ (Hindi), CNBC BAJAR (Gujarati) and CNBC PRIME HD,• 'Audio only' feature to listen to the live and past tv shows,• 'Videos on Demand' offers you past videos, which you must watch,Portfolio: ,• Monitoring your portfolio across Stocks, Mutual Funds, ULIPs, and Bullion ,• Timely updates on performance of your portfolio, and news & alerts relating to stocks you hold,Personalized Watchlist:,• Adding your favorite stocks, mutual funds, commodities, futures and currencies to monitor,• Get timely alerts in form of news and corporate action,Message Board:,• Follow your favorite topics and the top boarders to get recommendations,• Engage and participate in conversations relating to your portfolio or interest,Moneycontrol app is also available for iPhone, Windows, Blackberry, Nokia, Android Tabs, and iPad; you can download any from our website: http://www.moneycontrol.com/apps,- Moneycontrol apps are powered by Moneycontrol.com – India’s #1 Financial Portal"
20 September 2016, 11M  , 3.0.00.08  ,"Recharge, Pay Bills & Shop",3.9," 1,000,000 - 5,000,000 ",     4.0.3 and up   ,"retrieve running apps,find accounts on the device
read your own contact card,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
change your audio settings
control Near-Field Communication
control vibration
prevent device from sleeping
install shortcuts
read Google service configuration","https://www.google.com/url?q=http://www.hdfcbank.com/personal/making-payments/pay-with-payzapp/payzapp&sa=D&usg=AFQjCNGtyTwvPqucTEgcSvAHgfRrKSNsig,mailto:support@payzapp.in","58,385",HDFC Bank Ltd.,"PayZapp is a complete payment solution giving you the power to pay in just One Click. PayZapp lets you recharge your mobile, DTH and data card, pay utility bills, compare and book flight tickets, bus and hotels, shop, buy movie tickets, music and groceries, avail great offers at SmartBuy, and send money to anyone in your phone book. ,PayZapp is convenient, fast and secure. Link your Debit and Credit Card ek baar and pay karo baar baar. No need to re-load money again and again. Moreover your card details are secure with the bank and not stored on your mobile phone or on transacting sites. It uses a proprietary technology that conducts three security checks for each transaction. ,So don’t just pay. PayZapp it! ,For support during download or registration please call us at 1800 102 9426 or email support@payzapp.in,For detailed information, please click on the below links:,Website: https://www.hdfcbank.com/personal/making-payments/pay-with-payzapp/payzapp,Facebook: https://www.facebook.com/payzapp,--,App Permission Details :,• ""Device & app History"" is used to read logs, to help understand crashes and issues, so we can improve the app.,• ""Identity"" is used to auto populate email address, name during registration,• ""Contacts"" is used to retrieve phone number, email address from contacts to send money or recharge.,• ""Location"" is used to capture location details during transaction and login for improving user’s security. Also used in history to display users location when money was sent.,• ""SMS"" is used to auto read OTP/MVC/DVC related SMS. Also used in phone verification to send SMS on users behalf.,• ""Phone"" is used in support and feedback screen to initiate call our support team directly from app.,• ""Photos / Media / Files"" is used cache images and other non-sensitive server responses for better user experience.,• ""Camera"" is used for scan your credit card in manage cards screen. Also used for QR Code scanning (this is currently under closed user testing).,• ""Microphone"" is used for sound based proximity payments (this is currently under closed user testing).,• ""Device ID & call information"" is used save users device in trusted list if users opts to. Also used for push notification services."
19 September 2016,  Varies with device ,  Varies with device ,HDFC Bank MobileBanking,4.2," 5,000,000 - 10,000,000 ",  Varies with device   ,"find accounts on the device,find accounts on the device,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages
edit your text messages (SMS or MMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,read sync statistics
receive data from Internet
view network connections
create accounts and set passwords
pair with Bluetooth devices
full network access
change your audio settings
run at startup
draw over other apps
control vibration
prevent device from sleeping
toggle sync on and off","https://www.google.com/url?q=http://www.hdfcbank.com&sa=D&usg=AFQjCNFKlDxP_PXll48ZQOw_Li8o6odkOw,mailto:pranavh.patel@hdfcbank.com","130,023",HDFC Bank,"The official app of HDFC Bank for Android.,HDFC Bank MobileBanking gives you access to your account on your Android phone. Now, you can perform your banking tasks from the palm of your hand, from anywhere and at anytime!,What can you do?,- Pay utility bills, credit card bills, etc.,- View Account summaries and Fixed Deposit summaries,- Transfer funds ,including transfers to other bank customers,- Request statements, cheque book, stop payment,And much, much more."
27 July 2016, 12M  , 3.1  ,Axis Mobile,4.0," 1,000,000 - 5,000,000 ",     2.2 and up   ,"retrieve running apps,find accounts on the device,read calendar events plus confidential information
add or modify calendar events and send emails to guests without owners' knowledge,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),send SMS messages,directly call phone numbers
read call log
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,full licence to interact across users
receive data from Internet
view network connections
connect and disconnect from Wi-Fi
control flashlight
full network access
run at startup
control vibration
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.axisbank.com&sa=D&usg=AFQjCNHmR5TUIExTcJYb9B44ZLCHZQqPoA,mailto:internet.banking@axisbank.com,https://www.google.com/url?q=http://www.axisbank.com/privacy-policy.aspx&sa=D&usg=AFQjCNEGaDE8WAGLknIGDqPaSANdI6T4eA","105,369",Axis Bank Ltd.,
4 August 2016, 5.7M  , 3.0.0.37  ,Airtel Money - Recharge & Pay,4.1," 1,000,000 - 5,000,000 ",     4.0.3 and up   ,"find accounts on the device
read your own contact card,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,manage document storage
receive data from Internet
view network connections
full network access
control Near-Field Communication
control vibration
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.airtel.in/money&sa=D&usg=AFQjCNFRd-oOOjz2p0ywIMq-fXuL7HVWJQ,mailto:121@airtelmoney.in","43,673",airtel,
